gender,gender_num,race/ethnicity,race/ethnicity_num,parental level of education,ple_num,lunch,lunch_num,test preparation course,testprepcourse_num,math score,reading score,writing score,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,1,group E,5,some college,4,standard,0,none,0,0.79,0.68,0.61,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.51,,,
female,0,group C,3,some college,4,free/reduced,1,completed,1,0.25,0.62,0.59,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.51,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.65,0.64,0.62,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
female,0,group D,4,some college,4,standard,0,completed,1,0.76,0.96,0.95,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
female,0,group D,4,bachelor's degree,3,standard,0,none,0,0.44,0.58,0.64,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
male,1,group E,5,associate's degree,2,free/reduced,1,none,0,0.27,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.73,0.86,0.76,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
female,0,group D,4,master's degree,1,free/reduced,1,completed,1,0.8,0.93,1,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
female,0,group A,1,some high school,6,standard,0,none,0,0.61,0.77,0.69,,,,,,,,,,,,,,,,,,,,,,0.48,0.5,0.51,,,
male,1,group A,1,bachelor's degree,3,standard,0,none,0,0.54,0.5,0.48,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.73,0.81,0.77,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
male,1,group C,3,associate's degree,2,standard,0,completed,1,0.83,1,0.94,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
male,1,group C,3,master's degree,1,free/reduced,1,none,0,0.72,0.74,0.61,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group E,5,some high school,6,free/reduced,1,none,0,0.16,0.29,0.25,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group A,1,some high school,6,free/reduced,1,none,0,0.16,0.2,0.22,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group E,5,some college,4,standard,0,none,0,0.55,0.67,0.66,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group E,5,bachelor's degree,3,standard,0,none,0,0.51,0.62,0.59,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.42,0.7,0.55,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group D,4,high school,5,standard,0,none,0,0.48,0.5,0.51,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
male,1,group D,4,master's degree,1,standard,0,none,0,0.64,0.58,0.66,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
male,1,group E,5,some high school,6,free/reduced,1,completed,1,0.64,0.54,0.44,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
female,0,group D,4,some college,4,standard,0,none,0,0.69,0.55,0.69,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.51,,,
male,1,group E,5,some college,4,standard,0,none,0,0.68,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
male,1,group C,3,associate's degree,2,standard,0,completed,1,0.42,0.36,0.4,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
female,0,group C,3,some high school,6,standard,0,completed,1,0.53,0.64,0.69,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
male,1,group A,1,high school,5,free/reduced,1,none,0,0.29,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
female,0,group B,2,high school,5,free/reduced,1,none,0,0.32,0.54,0.5,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.8,0.85,0.94,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,0.53,,,
male,1,group B,2,some high school,6,standard,0,none,0,0.65,0.48,0.42,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.46,0.43,0.37,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group C,3,some high school,6,standard,0,completed,1,0.44,0.36,0.55,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
male,1,group A,1,some college,4,standard,0,none,0,0.36,0.2,0.22,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group A,1,some college,4,free/reduced,1,none,0,0.31,0.51,0.39,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group D,4,high school,5,standard,0,completed,1,0.84,0.99,1,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group C,3,high school,5,standard,0,none,0,0.37,0.43,0.48,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group C,3,some high school,6,standard,0,none,0,0.5,0.62,0.57,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
male,1,group B,2,associate's degree,2,standard,0,completed,1,0.53,0.51,0.5,,,,,,,,,,,,,,,,,,,,,,0.48,0.53,0.53,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.76,0.72,0.69,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
female,0,group D,4,high school,5,free/reduced,1,completed,1,0.35,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
male,1,group D,4,associate's degree,2,standard,0,completed,1,0.83,0.78,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
female,0,group D,4,master's degree,1,standard,0,completed,1,0.59,0.6,0.65,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
male,1,group E,5,some college,4,standard,0,completed,1,0.79,0.77,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.61,0.53,0.46,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.5,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.53,,,
female,0,group C,3,bachelor's degree,3,free/reduced,1,completed,1,0.33,0.61,0.72,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group E,5,high school,5,standard,0,none,0,0.79,0.62,0.58,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group C,3,bachelor's degree,3,standard,0,completed,1,0.61,0.64,0.57,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.65,0.62,0.55,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group D,4,some college,4,standard,0,none,0,0.57,0.43,0.48,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group E,5,high school,5,free/reduced,1,completed,1,0.42,0.39,0.37,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
female,0,group C,3,associate's degree,2,free/reduced,1,completed,1,0.76,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
female,0,group D,4,high school,5,standard,0,completed,1,0.42,0.41,0.51,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
female,0,group D,4,master's degree,1,free/reduced,1,completed,1,0.28,0.41,0.55,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
female,0,group A,1,some high school,6,standard,0,completed,1,0.44,0.79,0.73,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
male,1,group B,2,some college,4,free/reduced,1,none,0,0.2,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,0.5,0.53,0.54,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.48,0.54,0.48,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group C,3,bachelor's degree,3,standard,0,none,0,0.81,0.77,0.81,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group C,3,some high school,6,free/reduced,1,none,0,0.58,0.6,0.53,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group A,1,some high school,6,free/reduced,1,none,0,0.53,0.43,0.36,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group C,3,some high school,6,free/reduced,1,none,0,0.57,0.48,0.37,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group C,3,associate's degree,2,free/reduced,1,none,0,0.51,0.53,0.44,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
female,0,group C,3,high school,5,standard,0,none,0,0.47,0.61,0.59,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
male,1,group C,3,high school,5,standard,0,none,0,0.47,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,0.5,0.54,0.54,,,
female,0,group A,1,some high school,6,free/reduced,1,none,0,0.28,0.43,0.32,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.54,,,
male,1,group C,3,some high school,6,standard,0,none,0,0.64,0.53,0.54,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.54,,,
male,1,group C,3,some college,4,free/reduced,1,completed,1,0.32,0.27,0.36,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.54,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.66,0.55,0.51,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.54,,,
male,1,group D,4,associate's degree,2,free/reduced,1,none,0,0.66,0.53,0.64,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.54,,,
male,1,group C,3,high school,5,standard,0,none,0,0.59,0.39,0.33,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group D,4,some high school,6,standard,0,completed,1,0.85,0.84,0.76,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.55,0.74,0.72,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group D,4,high school,5,standard,0,none,0,0.7,0.74,0.73,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group A,1,some high school,6,free/reduced,1,none,0,0.44,0.62,0.58,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.64,0.77,0.68,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group A,1,some high school,6,free/reduced,1,none,0,0.72,0.75,0.64,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group C,3,some high school,6,standard,0,completed,1,0.55,0.64,0.69,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group D,4,some college,4,free/reduced,1,none,0,0.58,0.53,0.46,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.81,0.74,0.73,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group B,2,high school,5,standard,0,none,0,0.28,0.24,0.21,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group B,2,associate's degree,2,standard,0,none,0,0.74,0.62,0.62,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group C,3,some college,4,free/reduced,1,completed,1,0.51,0.79,0.8,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group E,5,some college,4,standard,0,none,0,1,0.89,0.96,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.53,0.68,0.65,,,,,,,,,,,,,,,,,,,,,,0.51,0.54,0.55,,,
male,1,group C,3,some college,4,free/reduced,1,none,0,0.53,0.41,0.31,,,,,,,,,,,,,,,,,,,,,,0.53,0.54,0.55,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.36,0.46,0.48,,,,,,,,,,,,,,,,,,,,,,0.53,0.54,0.55,,,
male,1,group C,3,bachelor's degree,3,free/reduced,1,none,0,0.14,0.39,0.28,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
female,0,group D,4,bachelor's degree,3,standard,0,none,0,0.72,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
male,1,group D,4,associate's degree,2,free/reduced,1,none,0,0.36,0.36,0.29,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
female,0,group E,5,bachelor's degree,3,standard,0,none,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
male,1,group B,2,high school,5,standard,0,completed,1,0.62,0.51,0.57,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
male,1,group C,3,bachelor's degree,3,free/reduced,1,none,0,0.36,0.41,0.39,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
male,1,group B,2,some college,4,free/reduced,1,none,0,0.37,0.36,0.25,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
female,0,group E,5,some college,4,standard,0,none,0,0.61,0.58,0.68,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.55,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.69,0.86,0.88,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
male,1,group A,1,bachelor's degree,3,standard,0,completed,1,0.66,0.41,0.48,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group C,3,some college,4,standard,0,none,0,0.79,0.82,0.88,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group D,4,associate's degree,2,free/reduced,1,none,0,0,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
male,1,group A,1,high school,5,free/reduced,1,completed,1,0.62,0.54,0.53,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group A,1,high school,5,free/reduced,1,completed,1,0.69,0.84,0.8,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
male,1,group C,3,some college,4,standard,0,none,0,0.88,0.64,0.68,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.77,0.79,0.87,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group C,3,high school,5,standard,0,none,0,0.5,0.57,0.65,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.57,0.81,0.79,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.44,0.54,0.47,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group B,2,associate's degree,2,standard,0,completed,1,0.87,0.86,0.88,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group D,4,bachelor's degree,3,standard,0,completed,1,0.61,0.67,0.77,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
male,1,group E,5,bachelor's degree,3,standard,0,completed,1,0.68,0.47,0.54,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.73,0.55,0.62,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.57,,,
female,0,group D,4,master's degree,1,standard,0,none,0,0.39,0.5,0.59,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group E,5,associate's degree,2,standard,0,none,0,0.68,0.6,0.55,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group B,2,high school,5,standard,0,completed,1,0.64,0.6,0.57,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
female,0,group D,4,associate's degree,2,free/reduced,1,none,0,0.35,0.43,0.4,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group C,3,some college,4,free/reduced,1,none,0,0.57,0.55,0.47,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group A,1,high school,5,standard,0,none,0,0.44,0.33,0.27,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.31,0.33,0.37,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group C,3,high school,5,standard,0,none,0,0.59,0.64,0.61,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group D,4,some college,4,free/reduced,1,none,0,0.47,0.26,0.4,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.46,0.65,0.65,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.51,0.34,0.42,,,,,,,,,,,,,,,,,,,,,,0.53,0.57,0.57,,,
male,1,group A,1,associate's degree,2,free/reduced,1,completed,1,0.72,0.75,0.76,,,,,,,,,,,,,,,,,,,,,,0.54,0.57,0.57,,,
female,0,group A,1,associate's degree,2,free/reduced,1,none,0,0.53,0.79,0.68,,,,,,,,,,,,,,,,,,,,,,0.54,0.57,0.57,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.51,0.5,0.59,,,,,,,,,,,,,,,,,,,,,,0.54,0.57,0.57,,,
female,0,group C,3,some college,4,standard,0,none,0,0.77,0.77,0.87,,,,,,,,,,,,,,,,,,,,,,0.54,0.57,0.57,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.74,0.84,0.87,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.57,,,
female,0,group B,2,high school,5,standard,0,none,0,0.37,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group D,4,high school,5,standard,0,completed,1,0.57,0.5,0.54,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group C,3,some college,4,standard,0,none,0,0.37,0.27,0.35,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group D,4,some college,4,free/reduced,1,completed,1,0.44,0.7,0.68,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.54,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group E,5,some college,4,standard,0,none,0,0.68,0.6,0.62,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group D,4,master's degree,1,standard,0,none,0,0.65,0.71,0.76,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group B,2,associate's degree,2,standard,0,completed,1,0.92,0.82,0.9,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group C,3,some college,4,free/reduced,1,none,0,0.5,0.46,0.37,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group E,5,associate's degree,2,standard,0,completed,1,0.94,0.85,0.9,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group D,4,master's degree,1,free/reduced,1,none,0,0.18,0.43,0.37,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.76,0.75,0.73,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group A,1,high school,5,standard,0,none,0,0.57,0.58,0.54,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group B,2,bachelor's degree,3,free/reduced,1,none,0,0.39,0.43,0.37,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group C,3,master's degree,1,standard,0,none,0,0.72,0.7,0.69,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.81,0.89,0.83,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group D,4,some college,4,standard,0,none,0,0.68,0.6,0.64,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group A,1,some high school,6,standard,0,none,0,0.51,0.3,0.22,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
male,1,group D,4,some high school,6,free/reduced,1,none,0,0.48,0.29,0.35,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.58,,,
female,0,group B,2,some high school,6,standard,0,completed,1,0.37,0.46,0.48,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.58,,,
female,0,group B,2,master's degree,1,free/reduced,1,completed,1,0.69,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.58,,,
female,0,group C,3,some high school,6,standard,0,completed,1,0.68,0.82,0.8,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.58,,,
female,0,group D,4,some college,4,standard,0,none,0,0.65,0.85,0.79,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.58,,,
female,0,group E,5,some college,4,standard,0,completed,1,0.54,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.59,,,
female,0,group D,4,some high school,6,standard,0,completed,1,0.54,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,0.59,,,
female,0,group B,2,high school,5,free/reduced,1,completed,1,0.55,0.7,0.72,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group D,4,some college,4,standard,0,none,0,0.61,0.29,0.35,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.88,0.81,0.79,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group D,4,bachelor's degree,3,standard,0,none,0,0.58,0.41,0.42,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group C,3,master's degree,1,free/reduced,1,none,0,0.37,0.43,0.32,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.36,0.33,0.31,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group E,5,some college,4,standard,0,none,0,0.57,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group C,3,some high school,6,free/reduced,1,completed,1,0.4,0.46,0.46,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.13,0.34,0.22,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group D,4,bachelor's degree,3,free/reduced,1,none,0,0.03,0.17,0.28,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.48,0.64,0.59,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.57,0.54,0.64,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,some high school,6,standard,0,none,0,0.28,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.48,0.46,0.43,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group E,5,associate's degree,2,standard,0,completed,1,0.72,0.84,0.92,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group B,2,high school,5,standard,0,completed,1,0.64,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group C,3,bachelor's degree,3,free/reduced,1,completed,1,0.54,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group C,3,associate's degree,2,standard,0,completed,1,0.33,0.44,0.43,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
female,0,group D,4,high school,5,standard,0,none,0,0.33,0.53,0.48,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group E,5,bachelor's degree,3,standard,0,completed,1,0.8,0.53,0.61,,,,,,,,,,,,,,,,,,,,,,0.55,0.6,0.59,,,
male,1,group A,1,associate's degree,2,standard,0,completed,1,0.96,0.89,0.81,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.66,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group D,4,associate's degree,2,free/reduced,1,completed,1,0.72,0.75,0.73,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.74,0.68,0.72,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
female,0,group D,4,associate's degree,2,standard,0,none,0,0.76,0.93,0.85,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
female,0,group D,4,master's degree,1,standard,0,none,0,0.51,0.48,0.54,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group E,5,some high school,6,free/reduced,1,completed,1,0.7,0.77,0.73,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
female,0,group A,1,some high school,6,standard,0,completed,1,0.9,1,0.96,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.62,0.54,0.51,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.48,0.54,0.51,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group C,3,master's degree,1,standard,0,none,0,0.72,0.61,0.58,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.59,,,
male,1,group C,3,some high school,6,free/reduced,1,none,0,0.72,0.67,0.53,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
male,1,group B,2,bachelor's degree,3,free/reduced,1,completed,1,0.83,0.86,0.84,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.18,0.27,0.32,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
male,1,group D,4,some college,4,free/reduced,1,none,0,0.69,0.47,0.51,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
male,1,group E,5,associate's degree,2,standard,0,none,0,0.36,0.23,0.18,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.07,0.15,0.09,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.39,0.61,0.72,,,,,,,,,,,,,,,,,,,,,,0.57,0.61,0.61,,,
